paper,#Statements,#Resources,#DistResources,#Literals,#DistLiterals,#Predicates,#DistPredicates
R211279,44,62,19,26,26,44,37
R211283,85,118,32,52,52,85,64
R211294,74,102,28,46,46,74,57
R211302,84,116,32,52,52,84,65
R211327,72,99,28,45,45,72,64
R211336,71,99,29,43,43,71,64
R211351,85,120,35,50,50,85,65
R211361,80,112,31,48,48,80,60
R211370,79,112,34,46,46,79,66
R211380,99,138,36,60,60,99,65
R211394,72,101,30,43,43,72,60
R211404,66,90,25,42,42,66,57
R211411,88,124,34,52,52,88,57
R211428,73,102,29,44,44,73,59
R211438,70,98,27,42,42,70,58
R211452,80,111,32,49,49,80,65
R211459,74,103,30,45,45,74,65
R211467,69,96,28,42,42,69,57
R211474,73,101,28,45,45,73,57
R211485,61,89,29,33,33,61,41
R211494,73,99,27,47,47,73,58
R211502,70,98,28,42,42,70,57
R659290,50,72,23,28,28,50,42
R659408,46,64,19,28,28,46,37
R659413,72,100,29,44,44,72,58
R659470,65,91,27,39,39,65,58
R659479,44,62,19,26,26,44,37
R660083,67,94,27,40,40,67,57
R660094,45,63,19,27,27,45,37
R660217,63,87,25,39,39,63,57
R661887,68,94,27,42,42,68,57
R661896,49,69,21,29,29,49,41
R661904,45,64,20,26,26,45,38
R661908,49,70,22,28,28,49,42
R661923,44,62,19,26,26,44,37
R671037,70,99,30,41,41,70,57
R671056,68,96,29,40,40,68,58
R671096,43,61,19,25,25,43,37
R675312,69,98,30,40,40,69,57
R675325,45,63,19,27,27,45,37
R675329,61,85,25,37,37,61,54
R675336,45,64,20,26,26,45,38
R675340,44,62,19,26,26,44,37
R675344,50,70,21,30,30,50,37
R675349,59,82,24,36,36,59,53
R675356,47,65,19,29,29,47,37
R675363,49,69,21,29,29,49,41
R675371,44,62,19,26,26,44,37
R675391,43,61,19,25,25,43,37
R675395,44,63,20,25,25,44,38
R675399,48,68,21,28,28,48,41
R677200,46,64,19,28,28,46,37
R677204,43,61,19,25,25,43,37
R1374601,62,87,26,37,37,62,57
R1374618,63,88,26,38,38,63,57
R1385593,43,61,19,25,25,43,37
R1385604,45,63,19,27,27,45,37
R1385617,61,85,23,37,37,61,41
R1387382,44,62,19,26,26,44,37
R1387388,48,68,21,28,28,48,41
R1387400,43,61,19,25,25,43,37
R1387406,50,72,23,28,28,50,41
R1388590,68,96,29,40,40,68,59
R1388609,44,62,19,26,26,44,37
R1388615,47,65,19,29,29,47,37
R1388621,45,63,19,27,27,45,37
R1411887,37,50,14,24,24,37,14
